DeptID,DeptName,Parent id,
1001,Gubernur,0,
1002,Wakil Gubernur,1001,
1,Sekretaris Daerah,1001,
2,Biro Pemerintahan,1,
161,Bagian Bina Pertanahan,2,
401,Subbag Pengawasan dan Pengendalian Pertanahan,161,
402,Subbag Fasilitasi Tanah Bermasalah,161,
403,Subbag Tata Usaha Biro,161,
162,Bagian Otonomi Daerah,2,
404,Subbag Penataan Daerah,162,
405,Subbag Fasilitasi Kepala Daerah dan DPRD,162,
406,Subbag Peningkatan Kapasitas Daerah,162,
163,Bagian Bina Administrasi Kewilayahan,2,
407,Subbag Pembinaan Wilayah,163,
408,"Subbag Fasilitasi Kebijakan Ketentraman Ketertiban, Perlindungan Masyarakat dan Kebencanaan",163,
409,Subbag Dekonsentrasi dan Tugas Pembantuan,163,
164,Kelompok Jabatan Fungsional Biro Pemerintahan,2,
410,PTT,2,
3,Biro Hukum,1,
165,Bagian Perundang-Undangan,3,
411,Subbag Rancangan Peraturan Daerah,165,
412,Subbag Rancangan Peraturan Kepala Daerah,165,
413,Subbag Rancangan Ketetapan,165,
166,Bagian Bantuan Hukum dan Ham,3,
414,Subbag Sengketa Hukum,166,
415,Subbag Penyusunan Naskah Perjanjian,166,
416,Subbag HAM dan HAKI,166,
167,Bagian Pembinaan Hukum,3,
417,Subbag Penyuluhan Hukum,167,
418,Subbag Dokumentasi Hukum,167,
419,Subbag Tata Usaha Biro,167,
168,Kelompok Jabatan Fungsional Biro Hukum,3,
420,PTT,3,
4,Biro Kesejahteraan Rakyat,1,
169,Bagian Keagamaan,4,
421,Subbag Bagian Pembinaan Keagamaan dan Kerukunan Umat Beragama,169,
422,Subbag Sarana dan Prasarana Keagamaan,169,
423,Subbag Pendidikan Keagamaan,169,
170,Bagian Kesejahteraan sosial,4,
424,Subbag Kesehatan dan Pengendalian Penduduk,170,
425,"Subbag sosial, Pemberdayaan Perempuan dan Perlindungan Anak",170,
426,"Subbag Tenaga Kerja, Transmigrasi dan Pemberdayaan Masyarakat",170,
171,"Bagian Pendidikan, Kebudayaan, Kepemudaan dan Olahraga",4,
427,Subbag Pendidikan dan Kebudayaan,171,
428,Subbag Kepemudaan dan Olahraga,171,
429,Subbag Tata Usaha,171,
172,Kelompok Jabatan Fungsional Biro Kesra,4,
430,PTT,4,
5,Biro Administrasi Perekonomian,1,
173,Bagian Produksi Daerah,5,
431,Subbag Pertambangan dan Energi ,173,
432,"Subbag Pertanian, Kehutanan, Kelautan dan Perikanan ",173,
433,Subbag Perdagangan dan Perindustrian ,173,
174,"Bagian Penanaman Modal, BUMN dan Lembaga Keungan ",5,
434,Subbag Penanaman Modal dan Promosi ,174,
435,Subbag Badan Usaha Milik Daerah ,174,
436,"Subbag Lemabaga Keuangan, Koperasi dan Usaha Kecil Menengah ",174,
175,Bagian Pengembangan Perekonomian,5,
437,Subbag Data dan Statistik Perekonomian ,175,
438,Subbag Periwisata dan Perhubungan ,175,
439,Subbag Tata Usaha Biro ,175,
176,Kelompok Jabatan Fungsional Biro Perekonomian,5,
440,PTT,5,
6,Biro Bina Adm Pengendalian Pembangunan dan LPBJP,1,
